Num_Theatres_Widest,Num_Theatres_Opening,Franchise_Raw,Google_Trends,sentiment,metacritics,director_nom,director_win,numNominatedActors,numWinningActors,totNumNom,totNumWins,Adjusted Budget,Adjusted Worldwide,Adjusted Domestic,runtime,male_18_29_ratings,male_30_44_ratings,male_45_plus_ratings,female_18_29_ratings,female_30_44_ratings,female_45_plus_ratings,Adventure,Action,Animation,Family,Science Fiction,Comedy,Drama,Romance,Horror,Mystery,Documentary,Music,Thriller,Crime,War,total_language,total_countries,PG-13,PG,R,G,NC-17,NR,Mon,Tue,Wed,Thurs,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,1504,0,1,-0.85,51,0,0,1,1,2,1,11.28706999,63.20759193,3.531319946,120,7.2,7.1,7.4,7.7,7.5,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
962,845,0,0,0,87,0,0,2,1,3,1,11.28706999,63.72064057,3.671212445,111,7.5,7.3,7.6,7.7,7.5,7.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1164,1164,0,1,-0.1321,52,0,0,0,0,0,0,11.31540698,4.777616279,1.327552958,97,6.2,5.9,6.2,6.7,6.5,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
324,260,0,0,-0.6486,67,0,0,0,0,0,0,11.31540698,61.7318314,3.983139589,90,7.5,7.3,7.2,7.7,7.6,7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1117,702,0,1,0.7806,74,0,0,0,0,0,0,11.31540698,45.38735465,3.427613787,123,8,8,7.9,8.2,8.2,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
263,17,0,0,-0.7003,73,1,0,2,0,2,0,11.48931298,10.16870229,1.982842364,100,7.4,7.1,6.7,7.3,7,6.9,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,1,0,0,0.4404,69,0,0,0,0,0,0,11.53333333,0.340233333,-1.078123622,99,7.1,6.9,6.7,6.7,6.7,6.6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
217,193,0,0,0.3427,55,0,0,0,0,0,0,11.53333333,8.073333333,0.548121409,96,6.7,6.5,6.4,6.4,6.4,6.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2530,2527,0,3,-0.5994,34,0,0,0,0,0,0,11.53333333,55.014,3.381334753,98,6.1,5.9,5.6,6.2,6,5.7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1003,629,0,8,-0.2023,79,1,0,1,1,1,1,11.53333333,73.352,4.005489062,110,7.3,7.2,7.3,7.5,7.5,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3157,2907,0,5,-0.9485,46,0,0,0,0,0,0,11.64626683,83.53549572,3.979063748,106,6.7,6.3,6.4,7.2,6.8,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
729,729,0,0,-0.9231,93,0,0,1,0,1,0,11.70356704,35.00430504,2.642215227,105,7.8,7.3,7.1,7.4,7,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1807,1807,0,1,-0.75,45,0,0,0,0,0,0,11.83977456,10.58615137,1.940836337,104,6,5.6,5.2,5.7,5.5,5.3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1544,1544,0,3,-0.91,22,0,0,0,0,0,0,11.88549618,28.39312977,3.069259379,84,4.7,4.4,4.4,4.9,4.5,5.2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,2009,0,2,-0.8934,24,0,0,0,0,0,0,11.88549618,35.78854962,3.417926889,100,5.2,4.7,4.6,6,5.5,5.2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
725,725,0,1,0.9545,64,0,0,1,0,1,0,11.95351759,64.65766332,2.995480985,98,6.7,6.5,6.9,7,6.9,7.4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1304,1304,0,1,0.25,29,0,0,0,0,0,0,12.1450858,1.484399376,0.39501023,97,4.5,3.9,3.9,5.2,4.6,4.7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2900,2893,0,1,0,47,0,0,0,0,0,0,12.31316726,34.06642942,3.130349227,106,6.7,6.2,5.9,6.6,6.2,5.9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3031,3031,0,1,0.9217,56,0,0,0,0,0,0,12.31316726,87.73131673,3.491498452,109,6.5,6.2,6.2,6.3,6,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2163,2135,0,0,0.5719,64,0,0,0,0,0,0,12.53623188,33.29066023,3.238299485,88,7.3,7.1,6.8,6.9,6.9,6.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1133,1133,0,0,0.5859,48,0,0,0,0,0,0,12.57267442,42.1184593,2.020700138,100,6.6,6.6,6.5,6.9,6.8,6.8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2155,2155,0,1,-0.6808,47,0,0,0,0,0,0,12.57267442,22.12790698,2.635885777,97,6.7,6.6,6.4,6.5,6.3,6.5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2702,2702,0,0,-0.4767,47,0,0,0,0,0,0,12.57267442,27.65988372,3.239561555,84,6,5.9,5.5,6.2,6.2,6.1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3183,3183,1,2,-0.5927,36,0,0,0,0,0,0,12.57267442,175.2630814,4.376825998,93,6,5.8,5.6,6.2,6,5.9,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,6,0,0,0.5584,52,0,0,3,2,3,2,12.57267442,27.65988372,0.086224367,111,6.8,6.6,6.5,6.7,6.7,6.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3036,3036,1,2,-0.1779,30,0,0,0,0,0,0,12.68666667,78.65733333,3.464088713,90,6.2,5.9,5.8,6.4,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3048,2417,0,3,0.959,47,0,0,1,0,1,0,12.70501836,107.25153,4.572335891,99,5.5,5.3,6,6.3,6.1,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3340,3173,0,5,-0.2846,69,0,0,2,0,2,0,12.70501836,325.24847,4.884603829,125,7.8,7.6,7.5,8,7.8,7.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2538,2538,0,0,-0.2732,41,0,0,1,0,1,0,12.76752768,15.95940959,2.141439939,107,5.7,5.6,5.6,5.6,5.7,5.8,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
275,7,0,2,0.0772,58,0,0,2,1,4,1,12.76752768,12.87392374,0.592626648,99,7,6.7,6.5,7.2,6.8,6.7,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1225,835,0,1,-0.4588,77,1,0,1,0,5,0,12.76752768,106.50246,3.691658492,98,7.6,7.5,7.7,7.7,7.7,7.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
968,968,0,7,0.5106,86,3,0,2,0,2,0,12.76752768,29.47170972,2.935563037,115,7.9,7.7,7.7,7.8,7.7,7.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2350,2350,0,0,-0.0258,46,0,0,0,0,0,0,12.82412791,44.75872093,3.096839571,93,5.5,5.4,5.4,5.7,5.7,5.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,18,0,0,-0.4215,47,0,0,1,0,1,0,12.95475819,5.937597504,1.215990782,144,6.8,6.7,6.4,7,6.9,7.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3084,3060,1,3,-0.4019,20,0,0,0,0,0,0,13.01114206,137.2193593,4.224034149,92,5.9,5.7,5.5,6.3,5.9,5.9,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,11,0,1,0.1027,52,0,0,1,0,1,0,13.04020101,0.072155779,-2.628927901,95,6.4,6.2,6.3,6.3,6.1,6.5,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256,197,0,1,-0.6486,73,0,0,0,0,0,0,13.04020101,38.57726131,2.149993081,100,6.8,6.6,6.6,6.4,6.4,6.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2052,2015,0,4,0.8834,51,0,0,1,0,1,0,13.04020101,104.4302764,4.599469293,122,6.6,6.1,5.8,7,6.7,6.8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2732,2730,0,2,0.9169,57,0,0,0,0,0,0,13.04020101,35.53454774,3.313934717,93,5.6,5.1,5.7,6.9,6.6,6.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3053,3039,0,3,-0.7783,40,0,0,0,0,0,0,13.04020101,88.34736181,4.331625563,110,6.6,6.3,6.5,6.8,6.7,7.1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3055,3055,0,8,0.6597,48,0,0,0,0,0,0,13.04020101,111.6023869,4.08499403,88,6.9,6.5,6,6.5,6,5.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
987,986,0,1,0,71,2,0,1,2,1,2,13.08953342,24.97919294,2.878071393,94,6.5,6.3,6.4,5.9,6,6.2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,12,0,1,-0.25,62,0,0,1,0,2,0,13.15589354,7.455006337,-1.995510527,97,6.5,6.3,6.4,6.5,6.2,6.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,120,0,8,-0.6908,50,0,0,0,0,0,0,13.15589354,46.37452471,1.478257547,145,8.2,7.4,7.4,8.4,8,7.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,1,0,0,0.6808,86,0,0,0,0,0,0,13.19311193,22.76875769,1.126709134,142,8,7.6,7.5,8,7.7,7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3167,3167,1,1,-0.9081,48,0,0,0,0,0,0,13.20610687,217.7687023,4.662617786,108,6.3,6.1,5.9,6.5,6.2,6.2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
505,6,0,0,-0.6808,77,0,0,1,1,2,1,13.20610687,9.508396947,1.982842364,126,7.5,7.3,7.1,7.5,7.3,7.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2253,2253,0,2,0.8555,62,0,0,0,0,0,0,13.23439412,51.87882497,3.940713943,100,6.3,5.9,5.4,6.4,6,6.2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1630,1591,0,0,-0.6597,57,0,0,2,1,2,1,13.25208914,48.0689415,3.81856904,114,7.1,6.9,7,7.7,7.5,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
427,427,0,0,-0.3853,38,0,0,1,0,2,0,13.33926453,1.846975089,0.613549214,91,5,5.1,4.8,4.8,4.9,5.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2279,2261,0,6,-0.3182,30,0,0,1,0,1,0,13.49453978,123.0702028,4.332169209,101,5.5,5.5,5.5,5.5,5.5,5.9,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
905,4,0,0,0.0516,65,0,0,0,0,0,0,13.49453978,23.34555382,2.833396864,96,6.9,6.8,6.8,6.6,6.6,6.9,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,1,0,0,-0.4939,86,0,0,1,1,1,1,13.60164034,5.542085427,-1.256280454,78,8,7.7,7.6,8.2,7.9,7.7,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2199,2199,0,0,0.34,67,1,0,5,2,10,2,13.63493064,82.90037831,3.800478352,101,7.2,7.1,7.1,7.1,7,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
417,417,0,0,0.765,42,0,0,0,0,0,0,13.70405577,4.275665399,0.091963186,118,7.1,6.7,6.9,8.2,7.1,7.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,7,0,0,-0.5106,51,0,0,0,0,0,0,13.70405577,1.205956907,0.091963186,108,6.4,6.2,6.2,6.1,5.9,6.2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2552,2282,0,1,-0.1779,64,0,0,4,0,5,0,13.76376989,58.01958384,3.843550194,102,7.2,7.2,7.3,7.3,7.3,7.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
