Num_Theatres_Widest,Num_Theatres_Opening,Franchise_Raw,Google_Trends,sentiment,metacritics,director_nom,director_win,numNominatedActors,numWinningActors,totNumNom,totNumWins,Adjusted Budget,Adjusted Worldwide,Adjusted Domestic,runtime,male_18_29_ratings,male_30_44_ratings,male_45_plus_ratings,female_18_29_ratings,female_30_44_ratings,female_45_plus_ratings,Adventure,Action,Animation,Family,Science Fiction,Comedy,Drama,Romance,Horror,Mystery,Documentary,Music,Thriller,Crime,War,total_language,total_countries,PG-13,PG,R,G,NC-17,NR,Mon,Tue,Wed,Thurs,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
3030,3030,0,1,0,31,0,0,0,0,0,0,76.0678392,62.70163317,3.691341872,116,5.8,5.5,5,5.5,5.2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3078,3078,0,2,-0.2023,39,0,0,0,0,0,0,76.0678392,173.9780151,4.215091747,88,6.5,6.2,6.3,6.9,6.6,6.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2943,2940,0,1,0.4019,46,1,1,1,1,1,1,76.3556116,76.02837327,3.968470083,111,5.5,5.2,5.1,5.4,5.1,5.2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3417,3417,0,5,-0.7351,37,0,0,0,0,0,0,76.3556116,231.0302648,4.512949805,116,5.8,5.7,5.8,5.9,5.6,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2806,2806,0,6,-0.875,53,0,0,1,0,1,0,76.69331395,120.3204942,4.079088271,124,7.8,7.3,7.3,7.9,7.7,7.9,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3597,3565,0,1,-0.8807,59,0,0,3,0,3,0,76.74271229,147.6749049,4.052776356,133,6.5,6.2,6.1,6.4,6.1,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2517,2517,0,3,-0.7783,45,0,0,1,0,1,0,76.91887676,70.17160686,3.591826337,123,6.5,6.4,6.3,6.5,6.3,6.4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3673,3638,0,1,-0.9803,56,0,0,0,1,0,1,76.95729537,112.6654804,3.841274654,116,7.4,7.1,6.9,7.7,7.4,7.3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2836,2836,0,2,-0.2023,44,0,0,0,0,0,0,78.00322061,79.6747182,4.168697884,86,6.4,6.2,5.9,6.6,6.3,6.3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3543,3508,0,2,0.0772,47,0,0,2,1,4,1,78.26833073,138.8588144,4.177131611,95,6.8,6.6,6.8,6.9,6.7,7.1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
