Num_Theatres_Widest,Num_Theatres_Opening,Franchise_Raw,Google_Trends,sentiment,metacritics,director_nom,director_win,numNominatedActors,numWinningActors,totNumNom,totNumWins,Adjusted Budget,Adjusted Worldwide,Adjusted Domestic,runtime,male_18_29_ratings,male_30_44_ratings,male_45_plus_ratings,female_18_29_ratings,female_30_44_ratings,female_45_plus_ratings,Adventure,Action,Animation,Family,Science Fiction,Comedy,Drama,Romance,Horror,Mystery,Documentary,Music,Thriller,Crime,War,total_language,total_countries,PG-13,PG,R,G,NC-17,NR,Mon,Tue,Wed,Thurs,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2937,2934,1,#N/A,-0.7712,62,0,0,0,0,0,0,4.81447E-05,165.7782931,4.810304677,78,6.1,5.6,5.8,6.7,6.1,6.2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,1,0,#N/A,0.1779,87,0,0,0,0,0,0,0.00031272,0.849220564,-0.163436334,91,8.8,4.1,7.8,10,10,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26,1,0,0,0.705,81,0,0,0,0,0,0,0.008726356,0.529035309,-0.636700103,96,7.9,7.5,7.4,7.8,7.5,7.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,4,0,6,0.6124,68,0,0,0,0,0,0,0.009750403,0.591988728,-0.524267685,77,7.1,6.9,6.5,6.6,6.5,6.6,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2712,760,1,0,0.7422,68,0,0,0,0,0,0,0.018859012,243.1555233,4.910145541,86,6.3,6.4,6.1,6,6.3,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,0,0,-0.3187,68,0,0,0,0,0,0,0.035974773,0.01038,-4.567874401,89,6.8,6.4,6.2,6.8,6.7,5.7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,1,0,0,-0.4019,72,0,0,0,0,0,0,0.07126109,0.429759189,-0.844530253,99,6.3,6.1,5.8,6.4,6.3,5.8,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230,41,0,0,-0.4939,73,0,0,0,0,0,0,0.090539453,28.69404187,2.77374546,100,7.2,7.3,7.3,7.2,7.3,7.4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2720,2720,0,3,-0.5346,30,0,0,0,0,0,0,0.102609727,44.12218268,3.152523085,87,4.4,4,3.9,4.7,4.1,3.9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,4,0,0,-0.0258,66,0,0,0,0,0,0,0.109079445,1.963430013,0.34927055,92,7.1,6.9,6.8,7.3,7.2,7.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
441,441,0,0,-0.7906,38,0,0,0,0,0,0,0.132061069,13.47022901,2.600481992,111,6.3,6.1,6.9,7.7,7.7,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,13,0,0,-0.1779,72,0,0,0,0,0,0,0.136349306,1.745271122,0.556909914,90,6.9,6.7,6.6,6.5,6.5,6.6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
116,24,0,0,0.3182,42,0,0,1,0,1,0,0.146171911,12.3259773,0.34927055,104,5.9,5.7,6,6.5,6.4,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2709,2709,0,6,0,63,0,0,0,0,0,0,0.181078905,76.19243156,3.752398434,79,5.4,5.7,6.1,5.1,5.7,6.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,2,0,0,0.7906,88,0,0,0,0,0,0,0.201162791,26.02543605,2.469650358,85,8,7.9,7.7,7.7,7.9,8,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
352,352,0,0,0.9005,43,0,0,0,0,0,0,0.21815889,2.651721311,0.97520898,101,6.4,5.7,6,7.1,7.2,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
180,6,0,#N/A,0.9955,71,0,0,0,0,0,0,0.223321859,4.764199656,1.462689487,78,6.2,6.2,6.2,6.3,6.1,6.1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1,0,0,-0.7269,82,0,0,0,0,0,0,0.244503769,1.20513191,0.18658903,86,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,0,0,-0.128,36,0,0,0,0,0,0,0.26599016,0.060432964,-2.806220556,99,4.1,3.8,3.9,4.1,3.5,3.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162,4,0,1,-0.4588,68,0,0,2,1,4,1,0.272698613,4.03593947,1.310681717,90,6.9,6.6,6.2,6.8,6.6,6.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1,0,1,-0.5267,71,0,0,1,0,1,0,0.277089137,2.770891365,-2.067534991,92,7.2,7,6.8,7.4,7.2,7.1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
175,8,0,#N/A,-0.3016,75,0,0,2,0,2,0,0.382067138,7.182862191,1.859219954,91,7.1,6.8,6.7,6.9,6.9,7.1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,8,0,1,-0.0516,87,0,0,0,0,0,0,0.404836193,2.429017161,0.705165158,88,7.9,7.7,7.7,7.8,7.9,7.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
804,801,0,#N/A,0.5563,66,0,0,0,0,0,0,0.430348259,11.18905473,2.402032639,112,8.3,7.9,6.8,8.2,7.9,7.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2,0,0,-0.765,67,0,0,0,0,0,0,0.545397226,0.187616646,-3.450110819,95,6.7,6.3,6.1,5.9,5.7,6,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,3,0,14,-0.7814,63,0,0,0,0,0,0,0.548162231,4.604562738,-1.347731952,94,6.6,6.4,6.3,6.2,6.1,6.1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,5,0,7,0.8268,59,0,0,0,0,0,0,0.548162231,0.109632446,-2.210621907,85,5.9,5.8,5.6,5.5,5.5,5.4,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1027,706,0,1,0.8126,64,0,0,0,0,0,0,0.557165862,64.21336554,4.126887614,95,6.8,6.9,6.9,6.8,7,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,13,0,0,0.8126,62,0,0,1,0,1,0,0.594274809,1.286274809,-0.692124803,84,7.2,6.9,6.6,7.4,7.3,7.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
905,839,0,2,0.6486,28,0,0,0,0,0,0,0.602367688,40.3586351,3.697805377,122,6.4,6,6.4,7.5,7.3,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,4,0,0,-0.6124,74,0,0,0,0,0,0,0.696457327,0.841320451,-0.172782656,90,7.5,7.2,7,7.5,7.2,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,-0.8934,66,0,0,0,0,0,0,0.7126109,0.036397972,-3.313242217,98,6.6,6.5,6.6,6.4,6.4,6.7,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
198,3,0,#N/A,0.2263,81,1,0,2,0,4,0,0.717247098,12.4800995,2.101278485,88,7.6,7.6,7.8,7.5,7.7,8.1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2002,2002,0,4,0.8074,72,0,0,0,1,0,1,0.71826809,18.46975089,2.88796343,103,7.4,7.1,6.7,7.4,7.2,7,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,9,0,#N/A,-0.9136,58,0,0,0,0,0,0,0.744406196,0.223321859,-1.499141235,93,6.8,6.7,6.6,6.8,6.7,6.7,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
182,9,0,0,0,72,0,0,0,0,0,0,0.815012563,4.346733668,1.469424682,85,7,6.9,7,7,7,7.1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,25,0,0,-0.6124,64,0,0,0,0,0,0,0.818095839,0.085518285,-2.459025066,102,5.7,5.6,5.4,4.8,5,5.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0,0,-0.891,61,0,0,0,0,0,0,0.922666667,2.306666667,-2.921354814,91,6.4,6.3,6.3,6.2,6.5,6.6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,23,0,0,0.8759,55,0,0,0,0,0,0,0.923680905,1.412688442,0.345494585,85,5.9,5.8,5.5,6.4,6.4,6.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,2,0,0,0.4588,85,0,0,1,0,1,0,0.924427481,6.206870229,1.271346044,107,7.3,7.2,7,7.3,7.3,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,3,0,0,-0.8979,66,0,0,0,0,0,0,0.981715006,0.028360656,-3.562752456,97,7,7.4,7.1,7.3,7.5,7.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
16,16,0,0,0.802,44,0,0,0,0,0,0,1.01443884,0.033705549,-3.39009281,100,5.6,5.3,5.4,5.9,5.6,5.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2755,2739,0,5,-0.8316,59,0,0,0,0,0,0,1.026097272,65.77283511,3.507002638,82,5.7,5.6,5.3,5.5,5.5,5.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,8,0,1,0.0056,68,0,0,1,0,1,0,1.060897833,5.152724968,-1.095480316,101,7.5,7.2,7,7.3,7.2,7.1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165,3,0,0,-0.4588,76,0,0,0,0,0,0,1.06396064,4.468634686,1.497082923,104,8.1,7.6,7.6,7.7,7.7,7.9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,12,0,#N/A,-0.4939,73,0,0,0,0,0,0,1.069787986,2.598056537,0.519445608,97,7.2,7.1,7.4,7.1,7,6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
47,2,0,0,0.1027,97,0,0,0,0,0,0,1.071833067,12.32122093,0.411262226,113,8.2,7.9,7.7,8,7.9,6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,1,0,0,-0.7003,89,0,0,0,0,0,0,1.086683417,0.529214824,-0.636360835,115,8.4,8.2,7.9,8.1,8.1,7.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2285,2551,0,4,-0.6597,64,0,0,0,0,0,0,1.086683417,110.6243719,4.059066652,83,7.1,7,6.9,6.9,6.9,7.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
516,4,0,0,-0.7096,79,0,0,2,0,2,0,1.086683417,9.888819095,1.87488979,98,7.2,7.1,7.4,7.2,7.2,7.6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1214,1161,0,1,0.8968,42,0,0,0,0,0,0,1.090794451,37.63240858,3.627865609,129,6.9,6.4,6.8,8,7.8,7.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,0,#N/A,-0.5994,62,0,0,1,0,1,0,1.147595357,0.08893864,-2.419808584,94,7.3,7.1,7.3,7.3,7,6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,2,0,#N/A,0.7178,83,0,0,0,0,0,0,1.191049914,4.168674699,1.139916095,88,7.3,7.3,6.8,6.9,7,6.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
366,7,0,1,-0.8888,29,0,0,0,0,0,0,1.21450858,0.514141966,-0.665255854,96,6.6,6.3,6.2,6.7,6.5,6.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,4,0,#N/A,0.7778,45,0,0,0,0,0,0,1.219320066,1.197802653,0.180488756,107,7.1,7,7.6,6.9,6.8,7.3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,2,0,0,-0.8316,82,0,0,0,0,0,0,1.257267442,0.369636628,-1.062043512,106,7.6,7.6,7.4,7.5,7.4,7.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
152,2,0,0,0.6486,58,0,0,1,0,1,0,1.281981279,9.446177847,0.29970005,103,7.1,7.1,7,7.3,7.2,7.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0.7269,65,0,0,0,0,0,0,1.320610687,1.11459542,-4.250114874,78,6.2,6.1,6.1,5.9,5.9,6.2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
587,4,0,0,-0.2732,75,0,0,0,0,0,0,1.320610687,65.76641221,3.460306112,100,7.3,7.5,7.2,7.4,7.7,7.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,8,0,0,-0.765,70,0,0,1,0,1,0,1.320610687,2.377099237,0.808722522,92,7.6,7.7,7.8,7.6,7.6,7.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1789,1789,0,0,-0.3612,39,0,0,0,0,0,0,1.349453978,21.05148206,2.602285143,90,6.1,5.7,5.6,6.4,5.8,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
656,2,0,1,0.5719,66,0,0,1,0,1,0,1.349453978,20.51170047,2.496924627,103,7.5,7.3,7.5,7.5,7.6,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
319,26,0,#N/A,-0.7184,72,0,0,0,0,0,0,1.528268551,15.28268551,2.370045578,97,6.4,6.6,6.8,6.2,6.7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
55,51,0,#N/A,-0.9217,62,0,0,0,0,0,0,1.528268551,1.302084806,0.263966677,119,7.1,7.2,6.8,8.2,7.5,6.7,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
